"Punto (r, θ)",Temperatura (°C)
"r=0.00, θ=0.00",0.4872705546821285
"r=0.00, θ=0.77",0.4872705546821285
"r=0.00, θ=1.60",0.4872705546821285
"r=0.00, θ=2.37",0.4872705546821285
"r=0.00, θ=3.14",0.4872705546821285
"r=0.24, θ=0.00",0.0
"r=0.24, θ=0.77",0.8414010048250801
"r=0.24, θ=1.60",1.1384135099652313
"r=0.24, θ=2.37",0.8414067013608675
"r=0.24, θ=3.14",0.0
"r=0.49, θ=0.00",0.0
"r=0.49, θ=0.77",1.612374303114492
"r=0.49, θ=1.60",2.3107257121375087
"r=0.49, θ=2.37",1.6123814271368924
"r=0.49, θ=3.14",0.0
"r=0.76, θ=0.00",0.0
"r=0.76, θ=0.77",6.30224091350866
"r=0.76, θ=1.60",8.960156763785019
"r=0.76, θ=2.37",6.302244788259273
"r=0.76, θ=3.14",0.0
"r=1.00, θ=0.00",0.0
"r=1.00, θ=0.77",50.0
"r=1.00, θ=1.60",50.0
"r=1.00, θ=2.37",50.0
"r=1.00, θ=3.14",0.0
